variant,freq_Hz,Zmot_complex_relative_error,Rac_far_ohm_relative_error,Rinternal_far_ohm_relative_error
base,50.0,0.0072212895719614085,0.014411097923593044,0.0068721511618880194
base,1000.0,0.0018484425180014872,0.005161289516291968,0.006076716440547315
base,4000.0,0.0037535837159190944,0.003252963533292837,0.0008666678195709785
base,8000.0,0.0008057431954782186,0.01227655394500679,0.0002842085257405745
base,12000.0,0.0009367846694278106,0.08644984005995413,0.0012811082318771123
base,15000.0,0.007211729372718417,0.10362375546120176,0.013968968113694014
acoustic_refined,50.0,0.0010496025901671994,0.0011867520161468398,0.0006258219388832981
acoustic_refined,1000.0,0.00022363002537828704,9.859276630464406e-05,0.0008175954905895269
acoustic_refined,4000.0,0.004101867169233003,0.004881383062913495,0.0010832675575888464
acoustic_refined,8000.0,0.0006643358993088284,0.0010692244385596154,0.0020005667982175993
acoustic_refined,12000.0,0.0008513541321017059,0.0027305109957879,0.00202165376298676
acoustic_refined,15000.0,0.006888961930019054,0.020140269803432125,0.011125544530791908
structure_refined,50.0,0.007645056943419607,0.01562742339528585,0.007509440763870695
structure_refined,1000.0,0.001637174646631012,0.005063219333946129,0.005261364655715646
structure_refined,4000.0,0.00035400964299751875,0.001620439462261149,0.00021448215013698468
structure_refined,8000.0,0.0003089994165845303,0.013371405011928864,0.0017173054231509448
structure_refined,12000.0,8.643760033829264e-05,0.08343400406074743,0.0007358883976353026
structure_refined,15000.0,0.0003395290363610316,0.12670237250993555,0.0029110720185336475
combined_finest,50.0,0.0,0.0,0.0
combined_finest,1000.0,0.0,0.0,0.0
combined_finest,4000.0,0.0,0.0,0.0
combined_finest,8000.0,0.0,0.0,0.0
combined_finest,12000.0,0.0,0.0,0.0
combined_finest,15000.0,0.0,0.0,0.0
