case,band_lo_Hz,band_hi_Hz,M0_ohm_per_s,fraction_of_case_M0
baseline_1p0,1.0,20.0,25.007966869531053,0.001230420681402537
baseline_1p0,20.0,200.0,3463.8204861647873,0.17042394470042194
baseline_1p0,200.0,2000.0,1042.6857431202359,0.05130133565962969
baseline_1p0,2000.0,15000.0,15793.214774610853,0.7770442989585459
cone_density_0p5,1.0,20.0,23.387724808926787,0.0009808917150865648
cone_density_0p5,20.0,200.0,5037.318968912937,0.21126742696105083
cone_density_0p5,200.0,2000.0,2007.0598893705337,0.08417699597759436
cone_density_0p5,2000.0,15000.0,16775.563367821498,0.7035746853462683
cone_density_2p0,1.0,20.0,29.40994828143958,0.0015606841070951475
cone_density_2p0,20.0,200.0,2139.3005086245385,0.11352526948229825
cone_density_2p0,200.0,2000.0,1438.7255982562854,0.0763481851168911
cone_density_2p0,2000.0,15000.0,15236.831114431328,0.8085658612937154
cone_stiffness_0p5,1.0,20.0,25.126919734711784,0.0011122197723245518
cone_stiffness_0p5,20.0,200.0,3500.674524255812,0.1549541075252222
cone_stiffness_0p5,200.0,2000.0,3251.9561752064114,0.1439448207334747
cone_stiffness_0p5,2000.0,15000.0,15813.928268742493,0.6999888519689784
cone_stiffness_2p0,1.0,20.0,25.134976034415022,0.0011992826252292608
cone_stiffness_2p0,20.0,200.0,3465.3188133346675,0.1653431711262449
cone_stiffness_2p0,200.0,2000.0,811.0240054175516,0.03869695348065401
cone_stiffness_2p0,2000.0,15000.0,16656.86472235781,0.7947605927678718
